,0
256,120
257,240
258,96
259,120
260,120
261,96
262,168
263,96
264,168
265,168
266,240
267,168
268,96
269,168
270,96
271,240
272,168
273,240
274,96
275,120
276,168
277,120
278,168
279,168
280,168
281,72
282,168
283,96
284,240
285,240
286,240
287,96
288,168
289,120
290,168
291,72
292,168
293,120
294,72
295,72
296,72
297,120
298,168
299,168
300,168
301,96
302,168
303,96
304,120
305,168
306,168
307,168
308,72
309,120
310,168
311,120
312,120
313,168
314,168
315,168
316,168
317,168
318,240
319,168
320,168
321,168
322,96
323,96
324,168
325,168
326,168
327,120
328,120
329,120
330,120
331,168
332,240
333,240
334,168
335,168
336,120
337,72
338,168
339,240
340,168
341,168
342,96
343,240
344,168
345,168
346,240
347,72
348,168
349,240
350,168
351,168
352,168
353,240
354,120
355,120
356,120
357,168
358,240
359,168
360,72
361,240
362,72
363,240
364,168
365,120
366,120
367,168
368,240
369,120
370,120
371,120
372,96
373,96
374,240
375,168
376,96
377,168
378,168
379,240
380,120
381,96
382,120
383,240
384,240
385,240
386,72
387,240
388,72
389,240
390,72
391,120
392,168
393,72
394,240
395,168
396,168
397,120
398,72
399,96
400,96
401,240
402,168
403,168
404,168
405,168
406,72
407,240
408,240
409,72
410,96
411,168
412,96
413,168
414,120
415,96
416,240
417,96
418,240
419,168
420,168
421,168
422,240
423,168
424,168
425,120
426,168
427,168
428,120
429,168
430,168
431,240
432,240
433,240
434,168
435,168
436,96
437,240
438,168
439,72
440,168
441,72
442,96
443,120
444,168
445,96
446,120
447,168
448,96
449,168
450,168
451,168
452,120
453,168
454,96
455,168
456,168
457,168
458,240
459,120
460,168
461,96
462,240
463,168
464,168
465,96
466,168
467,120
468,96
469,168
470,168
471,240
472,120
473,96
474,72
475,120
476,120
477,168
478,120
479,168
480,240
481,240
482,168
483,240
484,168
485,72
486,240
487,168
488,120
489,120
490,240
491,120
492,240
493,168
494,120
495,168
496,168
497,96
498,168
499,240
500,168
501,120
502,168
503,120
504,168
505,120
506,120
507,168
508,120
509,168
510,120
511,168
512,168
513,168
514,240
515,120
516,168
517,120
518,96
519,168
520,168
521,168
522,72
523,120
524,72
525,120
526,120
527,240
528,240
529,168
530,168
531,168
532,72
533,168
534,96
535,120
536,168
537,168
538,168
539,72
540,72
541,240
542,72
543,120
544,72
545,168
546,72
547,96
548,120
549,120
550,168
551,96
552,120
553,120
554,120
555,168
556,96
557,168
558,168
559,168
560,168
561,120
562,240
563,72
564,168
565,168
566,120
567,240
568,168
569,72
570,168
571,168
572,168
573,96
574,120
575,120
576,168
577,168
578,240
579,168
580,120
581,168
582,72
583,168
584,120
585,72
586,168
587,72
588,168
589,168
590,240
591,168
592,168
593,72
594,168
595,168
596,240
597,168
598,240
599,120
600,168
601,168
602,240
603,72
604,120
605,168
606,168
607,120
608,120
609,120
610,168
611,168
612,168
613,168
614,120
615,96
616,120
617,120
618,96
619,168
620,168
621,120
622,240
623,168
624,96
625,168
626,240
627,96
628,240
629,120
630,168
631,96
632,168
633,240
634,168
635,168
636,168
637,240
638,72
639,96
640,240
641,96
642,168
643,240
644,168
645,168
646,168
647,168
648,120
649,96
650,120
651,168
652,168
653,168
654,72
655,96
656,72
657,120
658,96
659,168
660,168
661,240
662,168
663,72
664,120
665,96
666,120
667,240
668,120
669,168
670,120
671,168
672,72
673,168
674,240
675,120
676,240
677,168
678,240
679,168
680,168
681,168
682,96
683,120
684,72
685,120
686,168
687,120
688,120
689,96
690,168
691,72
692,240
693,120
694,168
695,72
696,240
697,168
698,96
699,168
700,168
701,168
702,168
703,120
704,120
705,240
706,96
707,72
708,96
709,96
710,240
711,240
712,120
713,120
714,168
715,168
716,120
717,168
718,240
719,168
720,168
721,168
722,168
723,168
724,168
725,96
726,168
727,168
728,72
729,72
730,72
731,240
732,72
733,120
734,120
735,168
736,120
737,120
738,72
739,168
740,168
741,120
742,168
743,168
744,120
745,168
746,168
747,168
748,168
749,168
750,240
751,168
752,96
753,240
754,72
755,240
756,168
757,240
758,96
759,168
760,120
761,120
762,240
763,240
764,120
765,168
766,168
767,168
768,168
769,120
770,120
771,168
772,168
773,120
774,168
775,168
776,120
777,120
778,96
779,168
780,96
781,72
782,168
783,120
784,240
785,96
786,240
787,168
788,168
789,72
790,240
791,96
792,168
793,240
794,240
795,240
796,120
797,168
798,168
799,168
800,120
801,168
802,120
803,240
804,240
805,120
806,96
807,72
808,240
809,168
810,120
811,168
812,168
813,240
814,120
815,168
816,168
817,240
818,168
819,168
820,240
821,72
822,168
823,72
824,240
825,120
826,168
827,240
828,168
829,168
830,240
831,96
832,72
833,168
834,240
835,72
836,168
837,168
838,240
839,168
840,96
841,168
842,120
843,240
844,168
845,168
846,240
847,72
848,168
849,72
850,120
851,96
852,72
853,240
854,96
855,120
856,96
857,72
858,240
859,240
860,72
861,168
862,72
863,96
864,240
865,240
866,168
867,168
868,120
869,240
870,120
871,168
872,72
873,72
874,240
875,120
876,168
877,96
878,240
879,240
880,72
881,168
882,72
883,168
884,240
885,120
886,96
887,120
888,168
889,168
890,72
891,168
892,72
893,96
894,96
895,240
896,168
897,96
898,240
899,120
900,72
901,168
902,96
903,168
904,168
905,168
906,168
907,168
908,120
909,240
910,240
911,168
912,168
913,168
914,96
915,168
916,120
917,168
918,168
919,96
920,72
921,120
922,120
923,168
924,120
925,168
926,240
927,72
928,240
929,168
930,120
931,120
932,168
933,168
934,96
935,168
936,168
937,120
938,120
939,168
940,240
941,168
942,168
943,120
944,96
945,168
946,72
947,168
948,120
949,240
950,96
951,168
952,120
953,168
954,72
955,96
956,120
957,96
958,120
959,168
960,72
961,168
962,240
963,96
964,120
965,240
966,120
967,240
968,168
969,168
970,120
971,168
972,240
973,120
974,168
975,168
976,168
977,240
978,240
979,168
980,240
981,96
982,168
983,240
984,120
985,120
986,120
987,96
988,168
989,168
990,168
991,240
992,168
993,168
994,168
995,168
996,168
997,72
998,168
999,168
1000,240
1001,168
1002,168
1003,168
1004,168
1005,240
1006,168
1007,168
1008,120
1009,168
1010,168
1011,120
1012,168
1013,168
1014,240
1015,120
1016,240
1017,96
1018,168
1019,168
1020,72
1021,168
1022,168
1023,168
1024,240
1025,168
1026,168
1027,168
1028,168
1029,168
1030,168
1031,120
1032,240
1033,168
1034,168
1035,168
1036,96
1037,240
1038,120
1039,96
1040,168
1041,168
1042,168
1043,96
1044,120
1045,240
1046,168
1047,168
1048,240
1049,96
1050,168
1051,168
1052,168
1053,168
1054,240
1055,120
1056,120
1057,96
1058,240
1059,168
1060,240
1061,168
1062,168
1063,168
1064,240
1065,240
1066,240
1067,240
1068,72
1069,240
1070,240
1071,120
1072,120
1073,240
1074,240
1075,168
1076,120
1077,120
1078,168
1079,96
1080,168
1081,240
1082,96
1083,120
1084,120
1085,120
1086,168
1087,168
1088,72
1089,240
1090,240
1091,120
1092,168
1093,120
1094,120
1095,240
1096,240
1097,168
1098,168
1099,240
1100,120
1101,240
1102,168
1103,240
1104,168
1105,168
1106,240
1107,168
1108,240
1109,240
1110,168
1111,168
1112,240
1113,96
1114,168
1115,240
1116,240
1117,72
1118,120
1119,168
1120,168
1121,168
1122,72
1123,120
1124,120
1125,240
1126,72
1127,168
1128,168
1129,240
1130,72
1131,120
1132,240
1133,96
1134,240
1135,240
1136,168
1137,168
1138,120
1139,168
1140,168
1141,168
1142,168
1143,168
1144,168
1145,240
1146,120
1147,240
1148,240
1149,240
1150,72
1151,72
1152,72
1153,120
1154,96
1155,120
1156,120
1157,240
1158,96
1159,120
1160,240
1161,240
1162,120
1163,168
1164,120
1165,120
1166,120
1167,168
1168,240
1169,120
1170,168
1171,96
1172,168
1173,72
1174,96
1175,168
1176,72
1177,120
1178,168
1179,168
1180,72
1181,120
1182,168
1183,120
1184,168
1185,240
1186,72
1187,72
1188,120
1189,96
1190,240
1191,240
1192,96
1193,168
1194,96
1195,240
1196,72
1197,240
1198,168
1199,240
1200,72
1201,72
1202,240
1203,168
1204,120
1205,120
1206,120
1207,240
1208,96
1209,96
1210,120
1211,168
1212,240
1213,168
1214,120
1215,168
1216,240
1217,120
1218,168
1219,168
1220,72
1221,168
1222,240
1223,120
1224,168
1225,168
1226,240
1227,240
1228,120
1229,120
1230,120
1231,120
1232,168
1233,120
1234,240
1235,240
1236,72
1237,168
1238,240
1239,120
1240,168
1241,168
1242,96
1243,96
1244,168
1245,72
1246,72
1247,168
1248,168
1249,240
1250,168
1251,168
1252,168
1253,120
1254,240
1255,168
1256,168
1257,120
1258,240
1259,240
1260,168
1261,120
1262,168
1263,168
1264,96
1265,168
1266,168
1267,168
1268,240
1269,240
1270,96
1271,168
1272,168
1273,120
1274,240
1275,240
1276,240
1277,168
1278,168
1279,168
1280,168
1281,240
1282,240
1283,96
1284,120
1285,240
1286,120
1287,168
1288,168
1289,72
1290,120
1291,168
1292,96
1293,240
1294,168
1295,240
1296,168
1297,96
1298,96
1299,168
1300,120
1301,168
1302,72
1303,120
1304,240
1305,120
1306,168
1307,96
1308,96
1309,96
1310,120
1311,96
1312,168
1313,240
1314,96
1315,240
1316,168
1317,120
1318,168
1319,240
1320,168
1321,168
1322,240
1323,96
1324,168
1325,240
1326,168
1327,120
1328,120
1329,240
1330,240
1331,120
1332,72
1333,96
1334,240
1335,168
1336,120
1337,240
1338,120
1339,168
1340,120
1341,240
1342,168
1343,120
1344,72
1345,72
1346,168
1347,120
1348,120
1349,120
1350,72
1351,168
1352,120
1353,168
1354,120
1355,240
1356,120
1357,120
1358,120
1359,96
1360,240
1361,72
1362,168
1363,96
1364,168
1365,168
1366,240
1367,120
1368,240
1369,240
1370,120
1371,240
1372,72
1373,96
1374,120
1375,240
1376,240
1377,96
1378,168
1379,120
1380,72
1381,168
1382,240
1383,120
1384,120
1385,120
1386,168
1387,120
1388,240
1389,120
1390,72
1391,72
1392,168
1393,240
1394,168
1395,240
1396,168
1397,168
1398,168
1399,120
1400,120
1401,240
1402,240
1403,168
1404,240
1405,168
1406,168
1407,240
1408,168
1409,120
1410,168
1411,168
1412,120
1413,168
1414,168
1415,168
1416,120
1417,168
1418,120
1419,72
1420,168
1421,120
1422,96
1423,120
1424,240
1425,72
1426,240
1427,96
1428,240
1429,168
1430,240
1431,168
1432,240
1433,240
1434,96
1435,72
1436,168
1437,168
1438,72
1439,168
1440,168
1441,120
1442,120
1443,120
1444,168
1445,168
1446,168
1447,168
1448,240
1449,240
1450,168
1451,168
1452,96
1453,240
1454,120
1455,240
1456,168
1457,96
1458,72
1459,168
1460,120
1461,240
1462,240
1463,72
1464,120
1465,168
1466,240
1467,120
1468,240
1469,168
1470,120
1471,72
1472,168
1473,96
1474,168
1475,168
1476,168
1477,240
1478,168
1479,240
1480,168
1481,168
1482,168
1483,96
1484,168
1485,96
1486,168
1487,120
1488,96
1489,96
1490,96
1491,96
1492,168
1493,240
1494,120
1495,120
1496,168
1497,96
1498,72
1499,168
1500,120
1501,72
1502,168
1503,240
1504,240
1505,168
1506,168
1507,96
1508,168
1509,120
1510,168
1511,240
1512,72
1513,240
1514,120
1515,168
1516,168
1517,240
1518,240
1519,168
1520,120
1521,168
1522,168
1523,240
1524,240
1525,120
1526,120
1527,168
1528,120
1529,168
1530,120
1531,120
1532,72
1533,120
1534,168
1535,120
1536,120
1537,72
1538,120
1539,120
1540,240
1541,240
1542,240
1543,96
1544,120
1545,168
1546,240
1547,240
1548,168
1549,168
1550,240
1551,168
1552,96
1553,120
1554,120
1555,168
1556,72
1557,120
1558,96
1559,240
1560,120
1561,72
1562,120
1563,168
1564,120
1565,168
1566,72
1567,240
1568,96
1569,96
1570,168
1571,240
1572,168
1573,240
1574,168
1575,120
1576,168
1577,72
1578,240
1579,240
1580,168
1581,240
1582,240
1583,120
1584,96
1585,120
1586,168
1587,120
1588,168
1589,120
1590,168
1591,120
1592,240
1593,168
1594,120
1595,240
1596,168
1597,168
1598,168
1599,168
1600,240
1601,120
1602,120
1603,168
1604,120
1605,120
1606,96
1607,72
1608,120
1609,168
1610,240
1611,168
1612,168
1613,120
1614,168
1615,240
1616,168
1617,120
1618,168
1619,96
1620,240
1621,240
1622,168
1623,120
1624,120
1625,120
1626,120
1627,168
1628,240
1629,168
1630,72
1631,168
1632,120
1633,168
1634,240
1635,240
1636,120
1637,168
1638,72
1639,168
1640,120
1641,240
1642,168
1643,120
1644,96
1645,168
1646,240
1647,120
1648,168
1649,168
1650,96
1651,168
1652,168
1653,168
1654,96
1655,72
1656,168
1657,240
1658,240
1659,168
1660,240
1661,120
1662,120
1663,120
1664,168
1665,96
1666,168
1667,168
1668,168
1669,240
1670,168
1671,72
1672,168
1673,168
1674,240
1675,96
1676,168
1677,168
1678,96
1679,240
1680,120
1681,168
1682,72
1683,168
1684,168
1685,240
1686,168
1687,168
1688,240
1689,240
1690,120
1691,96
1692,168
1693,168
1694,168
1695,120
1696,168
1697,96
1698,96
1699,120
1700,168
1701,168
1702,120
1703,240
1704,120
1705,168
1706,168
1707,240
1708,96
1709,240
1710,120
1711,168
1712,240
1713,96
1714,120
1715,168
1716,168
1717,240
1718,240
1719,168
1720,240
1721,72
1722,72
1723,168
1724,72
1725,96
1726,240
1727,168
1728,168
1729,168
1730,168
1731,168
1732,96
1733,120
1734,72
1735,168
1736,72
1737,72
1738,168
1739,120
1740,72
1741,120
1742,240
1743,240
1744,168
1745,168
1746,96
1747,120
1748,240
1749,168
1750,120
1751,168
1752,168
1753,168
1754,120
1755,120
1756,120
1757,168
1758,120
1759,168
1760,240
1761,120
1762,120
1763,168
1764,120
1765,72
1766,240
1767,240
1768,168
1769,120
1770,120
1771,120
1772,168
1773,168
1774,72
1775,168
1776,120
1777,168
1778,168
1779,240
1780,240
1781,168
1782,72
1783,120
1784,168
1785,168
1786,120
1787,168
1788,168
1789,168
1790,168
1791,120
1792,240
1793,168
1794,72
1795,96
1796,240
1797,96
1798,168
1799,168
1800,72
1801,240
1802,168
1803,72
1804,168
1805,168
1806,168
1807,240
1808,168
1809,120
1810,240
1811,72
1812,72
1813,168
1814,96
1815,72
1816,72
1817,120
1818,168
1819,168
1820,72
1821,96
1822,168
1823,96
1824,120
1825,168
1826,96
1827,96
1828,96
1829,168
1830,168
1831,120
1832,168
1833,240
1834,168
1835,168
1836,240
1837,168
1838,120
1839,96
1840,168
1841,72
1842,120
1843,72
1844,240
1845,168
1846,168
1847,168
1848,96
1849,120
1850,120
1851,168
1852,120
1853,120
1854,168
1855,240
1856,168
1857,240
1858,168
1859,120
1860,240
1861,168
1862,168
1863,120
1864,168
1865,168
1866,240
1867,72
1868,120
1869,240
1870,240
1871,240
1872,120
1873,168
1874,240
1875,240
1876,168
1877,72
1878,120
1879,120
1880,240
1881,168
1882,120
1883,168
1884,240
1885,168
1886,120
1887,168
1888,72
1889,240
1890,72
1891,168
1892,240
1893,240
1894,240
1895,168
1896,240
1897,168
1898,168
1899,120
1900,168
1901,120
1902,240
1903,72
1904,120
1905,72
1906,96
1907,168
1908,120
1909,168
1910,240
1911,240
1912,120
1913,240
1914,168
1915,240
1916,168
1917,168
1918,168
1919,240
1920,96
1921,240
1922,240
1923,72
1924,120
1925,168
1926,168
1927,168
1928,120
1929,168
1930,72
1931,168
1932,120
1933,96
1934,240
1935,168
1936,120
1937,168
1938,96
1939,240
1940,168
1941,240
1942,168
1943,168
1944,240
1945,120
1946,168
1947,240
1948,120
1949,168
1950,120
1951,168
1952,96
1953,240
1954,168
1955,168
1956,120
1957,120
1958,120
1959,168
1960,240
1961,168
1962,96
1963,96
1964,168
1965,168
1966,120
1967,168
1968,72
1969,120
1970,120
1971,120
1972,120
1973,120
1974,168
1975,168
1976,168
1977,96
1978,168
1979,240
1980,168
1981,168
1982,168
1983,120
1984,72
1985,120
1986,120
1987,168
1988,120
1989,168
1990,120
1991,96
1992,168
1993,240
1994,168
1995,240
1996,168
1997,168
1998,120
1999,168
2000,96
2001,120
2002,120
2003,240
2004,72
2005,168
2006,72
2007,168
2008,168
2009,168
2010,96
2011,168
2012,168
2013,72
2014,240
2015,168
2016,168
2017,72
2018,240
2019,168
2020,168
2021,240
2022,240
2023,96
2024,240
2025,240
2026,168
2027,240
2028,72
2029,96
2030,72
2031,168
2032,168
2033,168
2034,240
2035,240
2036,168
2037,120
2038,168
2039,240
2040,240
2041,120
2042,168
2043,120
2044,240
2045,72
2046,168
2047,168
2048,96
2049,240
2050,168
2051,120
2052,240
2053,168
2054,168
2055,168
2056,168
2057,120
2058,120
2059,96
2060,240
2061,168
2062,240
2063,120
2064,168
2065,240
2066,168
2067,120
2068,168
2069,240
2070,96
2071,168
2072,168
2073,240
2074,120
2075,168
2076,168
2077,120
2078,120
2079,168
2080,168
2081,168
2082,168
2083,240
2084,120
2085,120
2086,120
2087,168
2088,120
2089,168
2090,168
2091,168
2092,240
2093,120
2094,96
2095,240
2096,240
2097,72
2098,168
2099,168
2100,120
2101,120
2102,120
2103,168
2104,72
2105,96
2106,240
2107,168
2108,240
2109,240
2110,240
2111,240
2112,168
2113,240
2114,240
2115,240
2116,240
2117,168
2118,120
2119,240
2120,240
2121,240
2122,240
2123,240
2124,168
2125,72
2126,168
2127,96
2128,240
2129,72
2130,168
2131,168
2132,120
2133,240
2134,96
2135,240
2136,240
2137,96
2138,168
2139,120
2140,72
2141,240
2142,168
2143,120
2144,96
2145,96
2146,72
2147,240
2148,240
2149,72
2150,168
2151,240
2152,240
2153,240
2154,72
2155,120
2156,240
2157,168
2158,168
2159,168
2160,168
2161,168
2162,240
2163,168
2164,240
2165,168
2166,120
2167,168
2168,168
2169,96
2170,168
2171,240
2172,72
2173,72
2174,240
2175,168
2176,120
2177,120
2178,240
2179,120
2180,168
2181,240
2182,240
2183,168
2184,120
2185,240
2186,96
2187,120
2188,120
2189,240
2190,168
2191,168
2192,168
2193,168
2194,240
2195,168
2196,168
2197,168
2198,72
2199,168
2200,240
2201,168
2202,240
2203,240
2204,168
2205,240
2206,72
2207,240
2208,240
2209,240
2210,168
2211,168
2212,72
2213,168
2214,168
2215,168
2216,168
2217,168
2218,240
2219,168
2220,120
2221,240
2222,96
2223,168
2224,120
2225,168
2226,120
2227,168
2228,168
2229,168
2230,72
2231,168
2232,240
2233,240
2234,72
2235,168
2236,168
2237,168
2238,168
2239,168
2240,168
2241,168
2242,120
2243,168
2244,168
2245,168
2246,72
2247,96
2248,120
2249,240
2250,240
2251,120
2252,168
2253,240
2254,168
2255,168
2256,120
2257,168
2258,240
2259,168
2260,168
2261,96
2262,96
2263,120
2264,168
2265,168
2266,168
2267,168
2268,168
2269,72
2270,168
2271,96
2272,168
2273,168
2274,72
2275,240
2276,120
2277,168
2278,96
2279,168
2280,168
2281,72
2282,168
2283,72
2284,120
2285,168
2286,168
2287,168
2288,168
2289,72
2290,168
2291,240
2292,240
2293,96
2294,72
2295,168
2296,120
2297,240
2298,240
2299,168
2300,72
2301,240
2302,96
2303,168
2304,168
2305,96
2306,240
2307,168
2308,168
2309,168
2310,168
2311,168
2312,168
2313,240
2314,168
2315,120
2316,168
2317,168
2318,96
2319,72
2320,72
2321,168
2322,168
2323,120
2324,72
2325,168
2326,240
2327,168
2328,240
2329,168
2330,240
2331,168
2332,168
2333,168
2334,72
2335,168
2336,120
2337,96
2338,168
2339,168
2340,240
2341,168
2342,168
2343,168
2344,168
2345,168
2346,240
2347,168
2348,96
2349,168
2350,168
2351,168
2352,168
2353,168
2354,240
2355,168
2356,96
2357,240
2358,120
2359,168
2360,168
2361,168
2362,120
2363,120
2364,120
2365,168
2366,240
2367,168
2368,120
2369,240
2370,168
2371,72
2372,168
2373,96
2374,168
2375,168
2376,120
2377,168
2378,96
2379,120
2380,120
2381,240
2382,168
2383,120
2384,168
2385,96
2386,168
2387,240
2388,96
2389,72
2390,168
2391,168
2392,96
2393,72
2394,120
2395,240
2396,168
2397,168
2398,240
2399,240
2400,120
2401,72
2402,168
2403,120
2404,168
2405,168
2406,168
2407,168
2408,168
2409,120
2410,120
2411,168
2412,96
2413,240
2414,72
2415,168
2416,240
2417,168
2418,240
2419,240
2420,168
2421,168
2422,120
2423,72
2424,168
2425,96
2426,240
2427,168
2428,96
2429,120
2430,120
2431,120
2432,168
2433,168
2434,96
2435,168
2436,168
2437,168
2438,168
2439,240
2440,168
2441,240
2442,240
2443,72
2444,168
2445,240
2446,240
2447,240
2448,96
2449,240
2450,240
2451,168
2452,168
2453,168
2454,240
2455,120
2456,168
2457,120
2458,72
2459,168
2460,240
2461,168
2462,120
2463,96
2464,168
2465,168
2466,168
2467,96
2468,168
2469,168
2470,168
2471,168
2472,240
2473,240
2474,168
2475,168
2476,120
2477,168
2478,72
2479,72
2480,168
2481,96
2482,168
2483,168
2484,168
2485,168
2486,240
2487,72
2488,168
2489,72
2490,168
2491,168
2492,168
2493,168
2494,168
2495,120
2496,120
2497,96
2498,120
2499,96
2500,240
2501,168
2502,120
2503,72
2504,240
2505,72
2506,240
2507,168
2508,240
2509,240
2510,168
2511,168
2512,168
2513,120
2514,240
2515,240
2516,120
2517,240
2518,240
2519,168
2520,168
2521,168
2522,72
2523,120
2524,168
2525,96
2526,120
2527,168
2528,168
2529,240
2530,168
2531,240
2532,240
2533,168
2534,168
2535,168
2536,168
2537,120
2538,120
2539,168
2540,72
2541,168
2542,120
2543,168
2544,120
2545,96
2546,168
2547,168
2548,168
2549,240
2550,240
2551,168
2552,120
2553,72
2554,120
2555,168
2556,120
2557,120
2558,240
2559,168
2560,120
2561,240
2562,120
2563,72
2564,96
2565,120
2566,168
2567,72
2568,240
2569,168
2570,168
2571,168
2572,168
2573,168
2574,240
2575,240
2576,168
2577,168
2578,168
2579,168
2580,240
2581,96
2582,72
2583,96
2584,240
2585,168
2586,120
2587,168
2588,168
2589,168
2590,120
2591,168
2592,240
2593,168
2594,168
2595,168
2596,168
2597,96
2598,120
2599,168
2600,72
2601,120
2602,168
2603,72
2604,72
2605,240
2606,168
2607,240
2608,72
2609,168
2610,168
2611,120
2612,120
2613,120
2614,240
2615,96
2616,168
2617,240
2618,168
2619,240
2620,168
2621,240
2622,168
2623,168
2624,120
2625,120
2626,240
2627,168
2628,240
2629,168
2630,72
2631,168
2632,120
2633,240
2634,168
2635,240
2636,240
2637,240
2638,240
2639,72
2640,240
2641,168
2642,120
2643,96
2644,120
2645,96
2646,168
2647,240
2648,168
2649,168
2650,120
2651,168
2652,72
2653,120
2654,168
2655,168
2656,120
2657,168
2658,120
2659,168
2660,168
2661,168
2662,120
2663,120
2664,168
2665,240
2666,168
2667,96
2668,168
2669,168
2670,240
2671,96
2672,120
2673,120
2674,168
2675,96
2676,168
2677,120
2678,168
2679,168
2680,240
2681,168
2682,240
2683,72
2684,240
2685,120
2686,168
2687,72
2688,120
2689,168
2690,240
2691,168
2692,168
2693,168
2694,168
2695,240
2696,120
2697,120
2698,168
2699,168
2700,168
2701,240
2702,168
2703,168
2704,168
2705,72
2706,168
2707,96
2708,168
2709,96
2710,240
2711,168
2712,120
2713,240
2714,168
2715,72
2716,240
2717,96
2718,240
2719,72
2720,96
2721,120
2722,168
2723,168
2724,120
2725,168
2726,168
2727,120
2728,120
2729,120
2730,96
2731,168
2732,72
2733,168
2734,120
2735,120
2736,168
2737,72
2738,72
2739,168
2740,168
2741,168
2742,240
2743,168
2744,240
2745,240
2746,96
2747,120
2748,168
2749,72
2750,168
2751,168
2752,72
2753,168
2754,120
2755,168
2756,168
2757,96
2758,168
2759,168
2760,168
2761,168
2762,240
2763,120
2764,240
2765,120
2766,120
2767,168
2768,120
2769,120
2770,240
2771,120
2772,168
2773,168
2774,168
2775,240
2776,168
2777,168
2778,96
2779,168
2780,240
2781,168
2782,168
2783,168
2784,168
2785,120
2786,168
2787,120
2788,168
2789,240
2790,168
2791,168
2792,168
2793,168
2794,240
2795,168
2796,240
2797,168
2798,168
2799,72
2800,120
2801,120
2802,240
2803,168
2804,168
2805,120
2806,96
2807,240
2808,168
2809,72
2810,120
2811,96
2812,168
2813,120
2814,240
2815,120
2816,72
2817,96
2818,72
2819,168
2820,120
2821,120
2822,240
2823,240
2824,96
2825,120
2826,120
2827,120
2828,72
2829,96
2830,168
2831,168
2832,168
2833,96
2834,240
2835,240
2836,72
2837,168
2838,168
2839,240
2840,120
2841,120
2842,168
2843,168
2844,120
2845,240
2846,168
2847,168
2848,168
2849,240
2850,168
2851,168
2852,120
2853,120
2854,96
2855,168
2856,120
2857,120
2858,120
2859,168
2860,72
2861,240
2862,120
2863,168
2864,168
2865,120
2866,72
2867,168
2868,120
2869,168
2870,96
2871,120
2872,240
2873,120
2874,240
2875,168
2876,240
2877,120
2878,120
2879,240
2880,96
2881,96
2882,168
2883,168
2884,240
2885,168
2886,120
2887,168
2888,168
2889,168
2890,72
2891,240
2892,168
2893,120
2894,168
2895,168
2896,120
2897,120
2898,120
2899,240
2900,120
2901,240
2902,120
2903,168
2904,72
2905,72
2906,120
2907,96
2908,168
2909,120
2910,240
2911,168
2912,72
2913,168
2914,72
2915,168
2916,96
2917,240
2918,168
2919,168
2920,168
2921,168
2922,168
2923,168
2924,72
2925,168
2926,96
2927,120
2928,120
2929,240
2930,168
2931,96
2932,168
2933,240
2934,168
2935,168
2936,72
2937,168
2938,240
2939,240
2940,168
2941,168
2942,120
2943,168
2944,72
2945,168
2946,240
2947,240
2948,168
2949,96
2950,168
2951,240
2952,168
2953,168
2954,72
2955,72
2956,168
2957,168
2958,168
2959,240
2960,96
2961,168
2962,240
2963,168
2964,168
2965,72
2966,120
2967,168
2968,168
2969,96
2970,120
2971,120
2972,168
2973,168
2974,72
2975,240
2976,168
2977,120
2978,72
2979,168
2980,96
2981,168
2982,96
2983,120
2984,72
2985,120
2986,120
2987,168
2988,168
2989,168
2990,96
2991,168
2992,120
2993,168
2994,120
2995,168
2996,168
2997,120
